winner,victory,losers,duration
Robert the Bruce,science,"['Ambiorix', 'Hammurabi', 'Menelik II']",0.0
John Curtin,science,"['Theodora', 'Matthias Corvinus', 'Kublai Khan (Mongolia)']",0.0
Dido,science,"['Cyrus', 'Ambiorix', 'Jadwiga']",1740.7843642234802
Amanitore,science,"['Ludwig II', 'Gitarja', 'John Curtin']",1651.3285899162292
Gitarja,religious,"['Lautaro', 'Seondeok', 'Harald Hardrada (Konge)']",858.9247615337372
John Curtin,science,"['Gilgamesh', 'Poundmaker', 'Mansa Musa']",1657.9052171707153
Jadwiga,religious,"['Mvemba a Nzinga', 'Hammurabi', 'Sundiata Keita']",570.6133441925049
Wilhelmina,science,"['Trajan', 'Pedro II', 'Ambiorix']",1278.2571563720703
Pedro II,religious,['Amanitore'],424.4666919708252
Kristina,religious,['Alexander'],227.7111246585846
Montezuma,science,['Kristina'],1020.8099381923676
Montezuma,religious,['Trajan'],556.8240592479706
Jayavarman VII,religious,['Kupe'],279.8798530101776
Peter,religious,['Tomyris'],329.53065729141235
Mansa Musa,religious,['John Curtin'],8.255010604858398
Gorgo,science,['Pedro II'],969.5200035572052
Poundmaker,religious,['Saladin (Sultan)'],133.450989484787
Genghis Khan,religious,['Gorgo'],594.0440936088562
Jayavarman VII,religious,['Teddy Roosevelt (Rough Rider)'],124.60861682891846
Gandhi,religious,['Hammurabi'],366.999568939209
Sejong,religious,['Pedro II'],706.4939980506897
Kristina,culture,['Philip II'],845.2308549880981
Chandragupta,religious,['Trajan'],439.721706867218
Lady Six Sky,religious,['John Curtin'],408.3570806980133
Sejong,religious,['Shaka'],522.8077323436737
Theodora,religious,['Yongle'],284.08881163597107
Kristina,religious,['Lautaro'],304.45925879478455
Menelik II,religious,['Lautaro'],262.9346618652344
Menelik II,religious,['Saladin (Vizier)'],258.1292972564697
Gitarja,religious,['Pachacuti'],169.85845732688904
Dido,science,['Kupe'],900.0250494480133
